,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149
252,0,2,0,3,0,0,1,1,1,3,0,1,1,0,4,0,0,0,0,4,3,0,1,0,0,0,1,0,0,0,1,5,0,1,0,0,2,1,3,5,0,1,0,0,1,0,0,0,1,2,2,0,2,0,1,0,1,6,1,1,3,0,0,0,1,0,3,0,2,4,0,1,0,0,1,0,6,0,8,1,0,5,1,0,2,0,2,0,0,5,3,0,1,0,0,0,6,0,0,0,1,2,0,1,1,0,1,0,0,0,1,0,2,1,1,0,2,12,5,0,1,0,0,2,1,0,20,0,0,2,0,2,5,0,0,1,0,1,2,4,1,0,0,1,0,0,1,0,0,0
253,0,0,0,0,0,2,1920,0,180,18,6,1,89,0,6,1,34,0,0,5,0,0,16,0,5,7,0,0,3,7,70,0,0,0,136,1,82,0,0,35,0,0,70,12,11,0,426,2,113,20,20,0,1203,17,1,0,10,40,0,209,0,0,0,0,5,4,102,4,4,3,14,0,19,0,5,4,54,24,0,0,35,5,4,0,0,0,26225,7,0,0,0,1,69,0,2,81175,6,0,3,3300,4578,2,9,13,50,92,1,2415,2916,0,0,0,0,4686,2,562,3,2,3,1,290,0,50,11,0,0,0,0,0,0,10,24,2,7,2,0,0,5,3,209,0,1,0,20,0,1,0,0,0,4
254,6,9,0,6,13,2,19,0,16,1,4,3,2,10,52,5,2,1,3,138,3,0,563,5,0,14,3,0,2,182,3,21,1,12,100,13,2,53,4,4,4,100,177,10,24,0,51,1,5,30,3,4,32,2,37,3,5,48,0,7,20,3,0,1,32,4,22,5,2,7,1,2,0,2,2,12,1,5,5,26,3,91,15,1,68,0,13,4,22,2,5,13,4,0,9,2,1,3,3,32,32,16,2,10,16,17,3,6,7,0,46,13,3,9,19,0,7,22,1,8,36,10,2,31,3,1,41,0,0,12,0,12,22,33,13,1,11,7,11,32,14,11,0,1,2,184,5,4,7,0
255,0,5,9,0,0,0,0,1,1248,3,0,0,17,1,13,101,2,0,0,0,0,0,33,0,2,1,2,0,0,29,5,111,0,5,0,35,2,0,24,0,1,11,82,0,0,0,88,452,16,0,1,0,0,0,15,0,0,1,2,0,0,12,6,0,2,0,0,0,0,1,0,0,0,0,0,9,60,0,14,2,0,0,1,1,155,0,723,57,23,3,134,0,0,1,0,2,4,0,0,0,0,9,0,194,868,16,0,56,0,17,6,0,32,136,0,0,436,0,0,0,0,0,4513,0,1,0,9,0,5,0,191,12,0,168,865,78984,234,0,59711,0,2,0,0,0,1,8,0,3,0,9
256,3,1,0,4,5,1,3,0,1,3,0,0,2,1,3,1,1,0,0,3,6,0,3,0,0,0,0,0,1,0,0,1,0,6,4,5,79,0,0,16,0,2,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,0,0,1,0,0,7,8,9,2,1,0,0,3,1,83,0,12,1,9,8,1,0,0,1,0,1,2,0,0,0,0,3,0,0,0,1,0,0,10,0,2,1,0,2,0,3,0,0,8,1,2,0,423,1,1,0,6,0,3,0,3,4,3,1,2,1,2,3,1,5,1,0,7,0,0,1,0,9,0,0
257,0,0,0,3682,0,10,24,42,0,2,47,0,29,7,0,1,0,0,0,4,3,0,0,6,0,1,1,0,2,1,4,1,1,0,2869,0,0,0,1,13,0,16,0,0,126,0,1,0,2,15,24,0,6,1,21,2,0,0,9,2,70,0,9,4,7,8,13,0,966,3,0,77,0,0,3,0,0,93,182,7,0,114,21,586,5,0,638,2,1,31,60,37,0,0,0,12,113,3,2,1254,2,186,1,40,0,0,0,1,26,0,0,0,750,840,0,0,2,33,2,0,33,0,2,105,2,1,78,19,0,0,0,14,0,0,2,0,832,1,0,6,0,1,51,0,0,12,24,5,3,9
258,0,7,0,0,2,1,11,0,2,0,1,0,2,0,3,0,1,0,3,6,1,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,3,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,4,1,2,1,5,0,0,0,0,0,0,3,0,3,0,1,7,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,21,1,0,1,2,1,1,0,1,1,1,0,0,3,0,1,1,0,1,1,1,3,1,0,1,0,1,0,1,3,1,0,4,0,4,1,0
259,0,44,0,7,0,48,5,3,1120,0,3,0,0,0,3,0,0,0,7,199,0,0,88,2,175,0,5,2,0,12,26972,1,0,15,1,10,240,0,10,796,0,0,0,0,0,0,713,0,1,0,30,0,0,0,0,0,16,1,213,190,0,0,0,0,2,3,0,0,0,0,3,762,10,0,1,0,8,0,6,1,0,0,0,60,1,0,1162,0,4,28,111,2,0,0,0,10,0,0,0,1,8,1,0,10,2,0,0,0,141,0,1,897,0,1790,2,1,2,2,0,321,662,3,6,0,0,0,1,1,1,14,33,57,16,5,0,0,114,385,142,2,9,38,0,1,14,0,0,0,0,0
260,0,0,30,16,2953,6,1,0,175,0,64,19,0,0,7,4,0,0,0,0,12,0,283,21,4,10,0,2,71,6160,210,0,18,22,2179,1,0,52,4,0,792,5,3,0,3,0,222,0,149,1,4237,1,0,0,24,0,97,9,1,1,0,0,6,0,4,0,20,55,1,6,1,1,0,0,0,0,0,2512,0,1,3,5,0,0,29,0,10,3,0,0,43,2,4,84,106,0,2,0,3,0,0,15,0,0,1,24,0,0,7,0,811,40,0,0,83,2,0,7,277,115,1,2,16,12,0,1,1,1,1,46,0,166,0,0,75,82,1553,0,0,0,0,0,24,5,0,11,0,1579,1,1
261,2,478,0,0,232,705,1002,20,60,106,0,1,8,14,28,2,0,1,0,260,24,0,397,1566,0,24,18,0,6480,6,58,1,38,8,1284,5278,0,8,41,9,4381,0,116,0,0,1,264,3,833,3,29,6,178,24,2,0,763,0,3,112,185,0,575,36,12,0,0,0,1,17,0,0,2,0,2427,0,0,2,2,32,3474,79,15,386,0,0,106,3,1,29,26,0,58,8,5,0,14,54,0,15,0,0,1,3805,1,10,1,0,0,0,13,0,17,27,0,6,0,0,0,161,49,266,24,0,0,0,1677,2,0,1,26427,148,38,26,2,2,1,1,3,0,0,114,402,6,0,175,0,0,28,1
